id|Title|Brand|Type|Sex|Size|SizeParams|SizeArray|Color|Country|Price|Image
1|Adidog / Одежда для собак мелких и средних пород. Костюм для собак. Чихуахуа. Чау-чау. Йорк. Корги.|Adidog||унисекс|для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|30,M,30;|красный||1190|images.wbstatic.net/c516x688/new/18260000/18260572-1.jpg
2|OSSO-fashion / Комбинезон из флиса для собак, кобели|OSSO-fashion|комбинезон|самец|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;|28-flise,28,30-34,28-32,26,28;30-flise,30,32-36,30-34,30,30;32-flise,32,34-38,32-36,30,32;35-flise,35,34-38,32-36,32,35;37-flise,37,38-42,36-40,34,37;40-flise,40,40-44,38-42,38,40;45-flise,45,44-48,42-46,54,45;50-flise,50,52-56,48-52,56,50;55-flise,55,60-64,56-60,58,55;60-flise,60,62-66,56-60,58,60;65-flise,65,62-66,58-62,60,65;70-flise,70,70-74,62-66,62,70;25-flise,25,28-32,26-30,24,25;|черный|Россия|1755|images.wbstatic.net/c516x688/new/6250000/6256826-1.jpg
3|OSSO-fashion / Комбинезон из флиса для собак, суки|OSSO-fashion|комбинезон|самка|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;|28-flise,28,30-34,28-32,26,28;30-flise,30,32-36,30-34,30,30;32-flise,32,34-38,32-36,30,32;35-flise,35,34-38,32-36,32,35;37-flise,37,38-42,36-40,34,37;40-flise,40,40-44,38-42,38,40;45-flise,45,44-48,42-46,54,45;50-flise,50,52-56,48-52,56,50;55-flise,55,60-64,56-60,58,55;60-flise,60,62-66,56-60,58,60;65-flise,65,62-66,58-62,60,65;70-flise,70,70-74,62-66,62,70;25-flise,25,28-32,26-30,24,25;|бордовый|Россия|1755|images.wbstatic.net/c516x688/new/6250000/6256825-1.jpg
4|OSSO-fashion / Жилет для собак "Стёжка"|OSSO-fashion|жилет|самец; самка|для крупных пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|37,37,55,37,37;40,40,61,37,40;45,45,65,47,45;50,50,76,52,50;55,55,82,57,55;60,60,86,61,60;65,65,86,67,65;70,70,99,68,70;|коричневый|Россия|2100|images.wbstatic.net/c516x688/new/15830000/15833179-1.jpg
5|OSSO-fashion / Зимний комбинезон для собак (кобели)|OSSO-fashion|пакет|самец|для крупных пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|40-1-bigsnow,40-1,60,46,40;40-2-bigsnow,40-2,70,48,40;45-1-bigsnow,45-1,65,52,45;45-2-bigsnow,45-2,70,54,45;50-1-bigsnow,50-1,70,54,50;50-2-bigsnow,50-2,85,56,50;55-1-bigsnow,55-1,80,62,55;55-2-bigsnow,55-2,90,64,55;60-1-bigsnow,60-1,90,62,60;60-2-bigsnow,60-2,105,70,60;65-1-bigsnow,65-1,100,72,65;65-2-bigsnow,65-2,110,76,65;|бежевый|Россия|3500|images.wbstatic.net/c516x688/new/14780000/14781562-1.jpg
6|DOGMODA / Комбинезон "Снеговик" (девочка)|DOGMODA|комбинезон|самка|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|2,2,39,25,24;3,3,45,29,28;4,4,52,33,32;5,5,60,38,37;|красный|Россия|2000|images.wbstatic.net/c516x688/new/17090000/17090186-1.jpg
7|Ай Да Пес / Скромный Буржуа|Ай Да Пес|комбинезон|самец; самка|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|S,S,36,28,24;M,M,42,32,26;L,L,47,36,28;XL,XL,52,40,30;2XL,2XL,56,44,33;3XL,3XL,60,48,36;4XL,4XL,60-70,50,40;|бежевый|Россия|2663|images.wbstatic.net/c516x688/new/4570000/4579704-1.jpg
8|OSSO-fashion / Комбинезон для собак от грязи, самки|OSSO-fashion|пакет|самка|для крупных пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;|65-1-bigsnow,65-1,100,-,72,65;45-dirt,45,52-66,44-48,42-52,45;50-dirt,50,52-72,46-64,44-54,50;55-dirt,55,64-80,54-66,48-62,55;60-dirt,60,68-92,58-78,52-62,60;65-dirt,65,72-90,62-78,54-72,65;70-dirt,70,74-104,64-92,62-72,70;|красный|Россия|2000|images.wbstatic.net/c516x688/new/11210000/11212134-1.jpg
9|OSSO-fashion / Жилет для собак "Стёжка"|OSSO-fashion|жилет|самец; самка|для крупных пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|37,37,55,37,37;40,40,61,37,40;45,45,65,47,45;50,50,76,52,50;55,55,82,57,55;55,55-1,82,57,55;60,60,86,61,60;65,65,86,67,65;70,70,99,68,70;|салатовый|Россия|2100|images.wbstatic.net/c516x688/new/9180000/9180698-1.jpg
10|Happy Puppy / Комбинезон для собак|Happy Puppy|комбинезон для собак|унисекс|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|M,2,39,25,24;L,3,45,29,28;XL,4,52,33,32;XXL,5,60,38,37;|серый|Россия|1000|images.wbstatic.net/c516x688/new/17990000/17990874-1.jpg
11|OSSO-fashion / Комбинезон для собак от грязи, самки|OSSO-fashion|пакет|самка|для крупных пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;|45-dirt,45,52-66,44-48,42-52,45;50-dirt,50,52-72,46-64,44-54,50;55-dirt,55,64-80,54-66,48-62,55;60-dirt,60,68-92,58-78,52-62,60;65-dirt,65,72-90,62-78,54-72,65;70-dirt,70,74-104,64-92,62-72,70;|черный|Россия|2000|images.wbstatic.net/c516x688/new/11210000/11212135-1.jpg
12|OSSO-fashion / Комбинезон для собак от грязи, кобели|OSSO-fashion|пакет|самец|для крупных пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;|45-dirt,45,52-66,44-48,42-52,45;50-dirt,50,52-72,46-64,44-54,50;55-dirt,55,64-80,54-66,48-62,55;60-dirt,60,68-92,58-78,52-62,60;65-dirt,65,72-90,62-78,54-72,65;70-dirt,70,74-104,64-92,62-72,70;|хаки|Россия|2000|images.wbstatic.net/c516x688/new/11210000/11215192-1.jpg
13|OSSO-fashion / Комбинезон для собак от грязи, кобели|OSSO-fashion|пакет|самец|для крупных пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;|45-dirt,45,52-66,44-48,42-52,45;50-dirt,50,52-72,46-64,44-54,50;55-dirt,55,64-80,54-66,48-62,55;60-dirt,60,68-92,58-78,52-62,60;65-dirt,65,72-90,62-78,54-72,65;70-dirt,70,74-104,64-92,62-72,70;|черный|Россия|2000|images.wbstatic.net/c516x688/new/11210000/11215193-1.jpg
14|OSSO-fashion / Комбинезон для собак на грязь, кобель|OSSO-fashion|комбинезон|самец|для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;|35-dirt,35,48-56,40-50,28-36,35;40-dirt,40,46-62,52-54,38-46,40;25-dirt,25,32-42,32-40,24-28,25;28-dirt,28,42-46,34-42,26-30,28;30-dirt,30,40-48,36-46,24-32,30;32-dirt,32,44-52,38-48,26-34,32;37-dirt,37,52-60,42-52,32-40,37;37-dirt,37-2,52-60,42-52,32-40,37;|хаки|Россия|1550|images.wbstatic.net/c516x688/new/7600000/7605343-1.jpg
15|OSSO-fashion / Жилет зимний для собак "Аляска"|OSSO-fashion|жилет|самка|для всех пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|35-alaska,35,50-58,36,32-35;25-alaska,25,32-42,28,23-25;28-alaska,28,40-48,30,25-28;30-alaska,30,42-50,32,28-30;32-alaska,32,44-54,34,30-32;37-alaska,37,52-60,38,35-37;40-alaska,40,52-62,42,37-40;45-alaska,45,58-68,50,40-45;50-alaska,50,62-76,54,45-50;55-alaska,55,74-82,62,50-55;60-alaska,60,78-92,68,55-60;65-alaska,65,82-94,72,60-65;70-alaska,70,74-104,76,65-70;|темно-серый|Россия|2350|images.wbstatic.net/c516x688/new/9550000/9556328-1.jpg
16|PetBaronet / Комбинезон зимний для собак мелких и средних пород "С-лап-сшибательный"|PetBaronet|||для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спины, в см;|M,M,37,25;XXL1,XXL,46,37;L-мелкие,L,39,27;S-мелкие,S,32,23;XL-мелкие,XL,42,32;|серебристый||1200|images.wbstatic.net/c516x688/new/14560000/14561268-1.jpg
17|ForMyDogs / Меховой комбинезон-шубка для собак девочек|ForMyDogs|комбинезон|самка|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спинки, в см;|9,10,32,24;11,12,36,27;13,14,40,30;14,16,44,33;15,18,48,36;16,20,52,39;17,22,56,42;|светло-коричневый, пудровый, розовый|Китай|4576|images.wbstatic.net/c516x688/new/10060000/10063275-1.jpg
18|ForMyDogs / Зимний комбинезон для крупных собак (мальчики)|ForMyDogs|комбинезон|самец|для крупных пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спинки, в см;|21,A3,60,40;22,B1,70,40;23,B2,75,45;24,B3,80,50;25,C1,75,55;26,C2,80,60;27,C3,85,65;|черный, зеленый|Китай|6078|images.wbstatic.net/c516x688/new/17500000/17506483-1.jpg
19|LUCKY DOG / Комбинезон утепленный для собак, порода "Бульдог", унисекс|LUCKY DOG|капюшон; комбинезон|унисекс|для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спинки, в см;|M,м,60-69,39-41;L,l,63-73,42-45;|серый, желтый||2950|images.wbstatic.net/c516x688/new/17080000/17084905-1.jpg
20|OSSO-fashion / Футболка для собак|OSSO-fashion|футболка|самец; самка|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|20,20,30-32,20-24,20;22,22,32-34,20-26,22;25,25,35-37,20-28,25;28,28,36-38,20-30,28;30,30,37-39,22-32,30;32,32,39-41,24-34,32;35,35,43-45,26-36,35;|белый, королевский синий|Россия|380|images.wbstatic.net/c516x688/new/13060000/13063568-1.jpg
